Startup,URL,Business Description,Funding Stage,Total funding (US$),Opportunity Space,Maturity,Founded,Location,Industry,Inc. Radar,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Kilimanjaro Energy,http://grestech.com/,"Kilimanjaro Energy is a research and development company that engages in the demonstration, commercialization, and promulgation of the air-capture technology for the capture of carbon dioxide (CO2) from the atmosphere. It focuses on the development of ACCESS, an atmospheric carbon capture system.",Series A,"2,250,000",Carbon Capture,Distant,2004,USA,Alternate,TRUE,,,,
Carbon Clean Solutions,https://carboncleansolutions.com/,"Carbon Clean Solutions (CCS) provides carbon dioxide (CO2) separation technology for industrial and gas treating applications. The company’s technology is used in power-plants, and steel, cement, fertilizer, chemical, and petrochemical industries for reducing CO2 emissions. The company is based in Mumbai, India with operations and research facilities in the United Kingdom and India; and operations in the United States.",Series B,"6,240,000",Carbon Capture,Distant,2009,India,Alternate,TRUE,,,,
Skytree,https://www.skytree.eu/,"Skytree is a spinout company of the European Space Agency (ESA). They have developed a technology that offers a highly effective way to capture CO2 directly from the air around us. We can store and re-use this CO2 in countless products and applications used daily. The company is currently working on prototypes, products and pilots for various markets. CO2 re-capture process was originally developed for spacecraft to extract.",Seed,"450,000",Carbon Capture,Distant,2014,Netherlands,Alternate,TRUE,,,,
Skymining,https://skymining.com/,"Skymining develops a technology where the atmospheric carbon dioxide can be turned into clean fuel, which can be used by companies, organizations or individuals. The technology used is based on specialized grasses that have inbuilt CO2 pumps, used during lack of CO2. Claims that this technology had been tested on an industrial scale.",Undisclosed,,Carbon Capture,Distant,2017,Sweden,Alternate,TRUE,,,,
Mineral Carbonation International,https://www.mineralcarbonation.com/,Mineral Carbonation specializes in providing carbon capture and sequestration solutions. It offers a technology that converts large scale CO2 into other products by using a mineral carbonation process.,Unfunded,,Carbon Capture,Distant,2013,Australia,Alternate,TRUE,,,,
C-Capture,https://www.c-capture.co.uk/,"C-Capture, a spin-off from the University of Leeds, developed a bottom-up approach to design solvent systems for the removal of CO2 from gas streams. The patented technology captures CO2 from methane gas streams as it passes through and upgrades biogas. Reversibly captures carbon dioxide from power stations, steel and cement production, and fermentation units.",Series A,"4,580,000",Carbon Capture,Distant,2008,UK,Cement,TRUE,,,,
Technology Centre Mongstad,https://tcmda.com/,"Technology Centre Mongstad is a provider of carbon capture solutions. It offers carbon capture solutions from sources such as power production flue gases, natural gas processing sectors, steel & iron industrial sectors, and much more.",Unfunded,,Carbon Capture,Distant,2008,Norway,Alternate,TRUE,,,,
Svante,https://svanteinc.com/,"Svante specializes in providing carbon capture solutions from the air. It offers a patented technology that traps carbon produced from the industries such as cement, steel, ammonia, aluminum, methanol, and hydrogen. The captured CO2 is concentrated, processed, and then released for storage or industrial use.",Undisclosed,,Carbon Capture,Distant,2007,Canada,Alternate,TRUE,,,,
CalStar Products,,"Calstar develops and manufactures sustainable building products that allow green architects and specifiers to dramatically reduce the energy and CO2 footprint of their projects and incorporate significant recycled materials, without compromising building performance or budgets. CalStar developed a unique technology to manufacture concrete products without the presence of portland cement. Traditionally, concrete block, pavers, and brick are manufactured using a mix design that includes sand, aggregates, water, and portland cement as the binder material. The Calstar technology uses fly ash based binders rather than Portland cement to manufacture a wide range of engineered building products.",Series B,"18,400,000",New Cement,Distant,2006,USA,Cement,TRUE,,,,
TOBERITE,https://www.toberite.com/,Toberite is a polymer-based concrete manufacturer for construction appliances. The cement uses engineered polypropylene atoms in replace of stone. The atoms are made from recycled polypropylene. The concrete is matrix-shaped and lightweight in nature.,Unfunded,,New Cement,Distant,2015,Australia,Cement,TRUE,,,,
Orbis,https://www.orbis-sys.com/,"Orbis provides pipeline monitoring systems. They provide a device called Prodigy which monitors the leakages and pipe conditions. The devices are equipped with sensor arrays that detect broad range of pipe conditions and notifies the upcoming potential issues to the user. It is a clamp-on device with a simple and non-invasive, cellular-connection. Uses patented sensors and wireless IoT connectivity and provides predictive assessments of pipe deterioration, internal blockages and monitors your infrastructure for leaks, flow events, pressure and temperature changes, legionella conditions prior to the onset of critical events. This device records all the data and provides all the data with visualization and upcoming failures to the user. They also provide prodigy devices for fire monitoring, HVAC monitoring, municipality, waste, and drain.",Unfunded,,Water Management,Emerging,2017,USA,Alternate,TRUE,,,,
Datatecnics,https://www.datatecnics.com/,Datatecnics focuses on developing smart pipelines and management infrastructure which alerts user about any faults using its software algorithms. Data is collected by sensors that sheath the pipelines. Company provides solution for water as well as oil pipelines. Additionally company has also developed autonomous nanowater processing system. Company won CIR Risk Management award in 2015.,Unfunded,,Water Management,Emerging,2011,UK,Alternate,TRUE,,,,
Geezar,http://www.geezar.es/,"Geezar provides water and environmental monitoring systems. Its IoT enabled device Pitwatcher is installed in a sewage collector to monitor the water quality. It provides information about pH, conductivity, hardness, dissolved oxygen, temperature, and chlorine. Its other device Fruitwatcher provides real-time information about conditions of goods along the transportation process.",Undisclosed,,Water Management,Emerging,2013,Spain,Alternate,TRUE,,,,
Aquasight,https://www.aquasight.io/,"Aquasight provides real-time performances and advisory platforms for water and wastewater utilities. Its platform mine data from sensors, SCADA, process equipment, and water meter. It provides solutions to municipal water for raw water sourcing, treatment, pumping, storage, wastewater treatment, and recycling. Its software includes ATLAS for pump health & operation, AURA a smart water platform, APOLLO for wastewater treatment, and ACE for the collection system.",Undisclosed,"25,000",Water Management,Emerging,2015,USA,Alternate,TRUE,,,,
2S Water,http://2swater.com/,2swater provides water monitoring and management solution for the municipality and industry applications. It provides single and multielement sensors to collect real-time data and detects the various contaminants.,Undisclosed,,Water Management,Emerging,2017,Canada,Alternate,TRUE,,,,
Wateffy,https://wateffy.com.br/,"Wateffy specializes in providing nanobubbles-based water treatment solutions. It offers an aeration effluent recirculation device that purifies metals, dissolved salts, organic matter, and pathogenic microorganisms. It also offers a software platform that has features such as real-time flow monitoring, waste monitoring, and others.",Undisclosed,,Water Management,Emerging,2018,Brazil,Alternate,TRUE,,,,
EchoFlow,https://www.echoflow.com.br/,EchoFlow is a provider of water supply management and drainage monitoring solutions. Its offerings include FluxLeak online water supply and distribution management software and FluxDrain drainage monitoring software. It offers hardware such as velocimeter and volumetric or ultrasonic hydrometers that enable remote monitoring of the water distribution systems.,Undisclosed,,Water Management,Emerging,2015,Brazil,Alternate,TRUE,,,,
WellCheck,https://wellcheck.fr/,"WellCheck is a manufacturer of floating sensors for water pollution analysis. It provides a water floating device that measures the water pollution data and sends the data to an antenna. The antenna consists of an LED that turns red if the water is polluted and turns green if the water is not polluted. It measures data such as suspended solids, chemical oxygen demand, pH level, water temperature, and more.",Unfunded,,Water Management,Emerging,2019,France,Alternate,TRUE,,,,
Groundwater Management Plan,https://www.admuwater.com/,Groundwater Management Plan is a provider of groundwater monitoring and management solutions. It offers sensors that can be installed inside wells and the ground to monitor the groundwater levels. It also provides data visualization and information about the quality of the groundwater.,Unfunded,,Water Management,Emerging,2019,Philippines,Alternate,TRUE,,,,
Ecobot,https://www.ecobotapp.com/,"Ecobot offers ecological monitoring, reporting and forecasting software. Services include quick input of wetland delineation data, contextual vegetation data, soil data lookups and others. Offers stormwater monitoring, groundwater monitoring, impact analysis, ecological risk assessments, air monitoring, safety planning and others.",Seed,"1,150,000",Water Management,Emerging,2015,USA,Alternate,TRUE,,,,
Klearia,https://www.klearia.com/,"Klearia is a developer of electrochemical analyzers for water analysis. It offers a patented technology called lab-on-a-chip that utilizes microfluidics where low volumes of fluids are processed to achieve multiplexing, automation, and high-throughput screening.",Undisclosed,,Water Management,Emerging,2012,France,Alternate,TRUE,,,,
PiQuant,http://www.piquant.asia/,"PiQuant develops customized sensor modules or devices that can measure the components that users want to detect based on spectroscopy. It offerings include customized sensor modules for smart home, smart farm, and smart factory applications; sensor solutions to improve SNR i.e. distinguish and remove the noise waves from the continuous wave and amplify it; PiScanner/LiquiScan- a mobile IoT liquid scanner which detects and measures the dose of lead, mercury, and artificial dyes from all kinds of liquid products, especially melamine from milk for babies; and MonAir- a mobile air quality measuring device. Results can be checked through the companion mobile app.",Undisclosed,,Water Management,Emerging,2015,South Korea,Alternate,TRUE,,,,
Whizible,https://www.whizible.com/,"Whizible provides cloud-based solutions for project management. The product offers features such as project management, resource management, process modeling & workflow, issue management, BI metrics, timesheets, dashboards, etc. The clients of the company include BEHR, Brillio, Wipro, HITACHI, ETC.",Unfunded,,Advanced Project Management,Emerging,2012,India,Alternate,TRUE,,,,
Konstru,https://konstru.com/,"Konstru is a cloud-based BIM tool for data exchange & collaboration. The automation platform enables users to view, edit, synchronize and share/exchange 3D models/data from multiple BIM/Structural Analysis tools (such as Revit, Excel, ETABS, Grasshopper, SAP2000, Tekla, RAM, and Dynamo). Users can also control access to models, merge & compare different models, manage re-modeling workflows, and track model changes, among others. It is available for a monthly subscription fee depending on the number of models.",Undisclosed,,Advanced Project Management,Emerging,2016,USA,Alternate,TRUE,,,,
BirdView Insight,https://www.birdviewinsight.com/,"BirdView Insight is a platform for project management solutions. It allows the user to track project issues and allows users to assign them to teams. It keeps track of activity duration against the approved schedule. It allows users to track the team's performance and time spent on the projects, manage projects, and evaluate records. It integrates with tools that include Slack, Office 365, MS Project, SharePoint and many more.",Unfunded,,Advanced Project Management,Emerging,2017,Canada,Alternate,TRUE,,,,
Go-inspect,https://www.go-inspect.com/,"GoInspect is an application for project reporting solutions. It allows users to create checklists, carry out inspections and file reports. It allows users to track the team's performance and time spent on the projects, manage projects, evaluate records and time recording solutions. It enables users to collaborate with each other and manage dashboards to view updates. It provides drag and drops features, time tracking features, log reports, project progress reports. Its application is available on Google Play Store and Apple Store. Its clients include Extra, Sembmarine, Urbanbubble and many more.",Unfunded,,Advanced Project Management,Emerging,2015,UK,Alternate,TRUE,,,,
Kangiten Technologies,https://www.kangitentpl.com/,"Kangiten Technologies provides an IoT platform to connect, collect and analyze data. Known as the Datasar platform it provides automation solutions across many business domains. The data is sent in the encrypted format which is then transformed & forwarded and it generates management information reports for OEM & service provider. Offers capital asset monitoring solution and uses predictive analysis to help detect defects and production failures. Provides personalized dashboards and solutions to raise alarms based on prognosis analysis. Supports SAAS and on Premises deployment options and provides a cloud-based web Interface supporting the connection of devices with MQTT, REST Using HTTP, Zigbee, WIFI, SMS & more.",Unfunded,,Predictive Maintenance,Emerging,2018,India,Alternate,TRUE,,,,
Mogulinker Technology,http://www.mogulinker.com/,"Mogulinker Technology is a provider of Internet of Things enabled solution for industrial applications. The product offerings include Mushroom Cloud Box, Mushroom Cloud, and Mushroom Circle. The company has developed a cloud-connected gateway that interfaces with the existing sensors for forming a network and acquiring the data leveraging the same. The acquired data is sent to a cloud-based platform that processes the same for providing users with actionable insights including the full lifecycle management system for industrial equipment and multiple versions based on multiple objects on which the sensors are deployed.",Series B,"14,300,000",Operations Intelligence,Existing,2016,China,Alternate,TRUE,,,,
Shengsheng Technology,http://www.ensonictech.com/,"Shengsheng Technology is a technology company that develops acoustic monitoring solutions for the Internet of Things. Its core technology relies on noise in the mechanical motion of the object for monitoring of the same, in real-time. The collected data is stored in a diagnostic database which then uses artificial intelligence and deep learning to diagnose the same in an unknown working environment. Based on its technology, it offers three solutions namely whistle monitoring, fault monitoring, and low altitude monitoring. Whistle monitoring can be used to capture the illegal whistle vehicle in real time, and generate images or video transmissions to the background management platform for providing evidence of violations. Fault monitoring enables real-time monitoring and detection of faults in large equipment. Low altitude monitoring enables identifying and locating the target vehicles and low-altitude aircraft in the controlled area. Clientele includes BMW, State Grid, Huiyuan Group, among others",Undisclosed,,Operations Intelligence,Existing,2018,China,Alternate,TRUE,,,,
DAPAGEE,https://www.dapagee.com/,"DAPAGEE Industrial IoT provides IoT-based wireless condition monitoring and predictive maintenance solutions. Provides an analytic dashboard and API solutions for monitoring equipment’s health by monitoring the vibration and temperature of the devices using wireless sensors & gateways. Offers solutions to predict when a machine will fail before it fails, avoiding unpredictable & expensive breakdowns and also offers a motion energy harvesting system that uses rotary or linear motion to create energy.",Unfunded,,Predictive Maintenance,Emerging,2019,Canada,Alternate,TRUE,,,,
Harmony IoT,https://www.harmonyiot.com/,"Harmony IoT provides IoT based monitoring and tracking solutions for industries. Solutions include predictive maintenance to optimize system performance with early Identification of risks & prioritization of issues and send alerts, temperature monitoring using Bluetooth, GPS and other protocols, proximity compliance to validate tasks performed by staff and asset tracking to track anything indoor or outdoor using Bluetooth and GPS protocols. They use machine learning and automated sensor deployment to accelerate IoT and capture sensor data from the equipment to solve enterprise challenges.",Unfunded,,Predictive Maintenance,Emerging,2019,USA,Alternate,TRUE,,,,
PredictiveDataScience,https://predictivedatascience.sk/en/home/,"Predictive Data Science provides IoT solutions for industrial production for monitoring the state of production facilities and the online identification of possible failures in the production process. They design and install sensor technology on industrial machines for monitoring and recording the production data. According to the type of data, the data is stored in suitable storage either in a structured database or in the Data Lake Hadoop environment. Predictive data science IP platform learns from the data using different machine learning algorithms designed to automatically process data and to achieve the pursued objective and provide a result for fast and smart decision making.",Unfunded,,Predictive Maintenance,Emerging,2017,Solvakia,Alternate,TRUE,,,,
Intelory,http://www.intelory.com/,"Intelory provides IoT and cloud-based analytics software for manufacturers to monitor and control their assets. Connects assets, sensors, and controllers to the cloud and build apps and analytics products for remote monitoring and control capabilities. Provides manufacturers with solutions to optimize their operations, build better products and offer superior customer experience. Uses machine learning technology for monitoring, anomaly detection, and preventive maintenance.",Undisclosed,,Predictive Maintenance,Emerging,2018,Mecedonia,Alternate,TRUE,,,,
Codestryke,https://codestryke.com/,"Codestryke provides automation and IoT solutions for machine builders and manufacturing companies. It provides a cloud software called IoTyze for digitizing machines. IoTyze helps the user to use new business models and increase sales and make data-based decisions in product development by analyzing. Users can support their customers with machine diagnostics and processes from anywhere. Users can overview the status of the machine on their smartphones and generate time series data into time segments that are assigned to the product, job & batch. Using edge gateway runtime on machines, onboarding time will be less than a minute and can connect field devices and control devices to the cloud in less than a minute. Using IoT manufacturers can access their customer's usage data using sensors and actuators and visualize the data to enable predictive maintenance and offer spare parts on time. Provides PLC programming they upgrade the industrial machines IoT ready and extend the machine control through high-level language programming and IT technologies. Their clients are Software Ag, Siemens, and Gold partner Mind Sphere.",Unfunded,,Predictive Maintenance,Emerging,2017,Germany,Alternate,TRUE,,,,
ThingsCode,https://thingscode.com/,"ThingsCode provides IoT-based predictive maintenance solutions for manufacturers. Provides a cloud-based platform that enables users to monitor, maintain and analyze data from manufacturing equipment in real-time. Claims to help in lowering operational cost, increasing response times, and minimizing errors.",Unfunded,,Predictive Maintenance,Emerging,2018,India,Alternate,TRUE,,,,
Ulala LAB,https://www.ulalalab.com/,"Ulala Labs has developed connected solutions to optimize processes in factories, to enable communication with pets and an educational platform. Smart factory solution, Wifactory consists of connected sensors, Wicon that measure data of production lines or facilities, this data is then sent to cloud for analysis. Insights generated from the data are sent to factory administrators to improve processes and eliminate detected faults.",Series A,"2,000,000",Predictive Maintenance,Emerging,2011,South Korea,Alternate,TRUE,,,,
SixSense,https://www.sixsense.ai/,"SixSense is a Singapore based company that has developed an AI-powered platform specifically for the manufacturing industry. It leverages technologies like computer vision, deep learning, and IoT analytics for predicting defects and variability in product quality.",Unfunded,,Operations Intelligence,Emerging,2018,Singapore,Alternate,TRUE,,,,
Precyse Tech,https://www.precysetech.com/,"Precyse Technologies provides wireless Remote Entity Awareness and Control (REAC) systems for remotely managing high-value physical assets and personnel. It also provides real-time location and logistics visibility solutions based on active RFID technologies. Its network automates data collection, enables managerial intelligence, and facilitates savings through inventory reduction, process automation and human error elimination, improved quality and supply chain agility. N3 is a bi-directional, wireless asset network standard which along with Precyse iLocate product suite delivers asset identification, location, wireless sensing, and remote machine control.",Series B,"12,000,000",Operations Intelligence,Emerging,2004,USA,Alternate,TRUE,,,,
Caption Data,https://www.captiondata.com/,"Caption data is developer of a range of solutions that enable remote monitoring in industries. Company has developed hardware equipped with sensors and connectivity modules. Additionally company has developed CDLSmartHub, a web-based SaaS platform to gather all the data. When company's hardware is integrated with existing machinery it starts collecting run time data which can be viewed by user on dashboard.",Seed,"138,000",Operations Intelligence,Existing,2008,UK,Alternate,TRUE,,,,
AMI Global,https://amiglobal.com/,"AMI (Aqua Management Inc.) Global provides turnkey IoT solutions for cross industrial systems & equipment manufacturers. These include hardware, software, servers, and services to connect devices through cloud with end users. Solution benefits include encrypted security, interoperability with other machines, and customized cloud and app-driven capabilities to enable customers to connect remote assets to the Internet and provide data collection and asset management capabilities. Finds application in industries like agriculture, energy, oil & gas, manufacturing, mining, and other custom industry cases.",Undisclosed,,Predictive Maintenance,Emerging,2009,USA,Alternate,TRUE,,,,
OrgPal,https://www.orgpal.com/,"OrgPal provides hardware and software solutions for a cloud-based sensor data storage, visualization, and remote management application. Solutions include PalOne which takes existing or new sensory infrastructure to cloud gateway and edge point; Palnode, a wireless telemetry endpoint; Binmonitor, a 10 years battery-powered sensors that allows monitoring the level or amount of fill of various containers and bins, trash cans, trash compactors and more industrial and general purpose monitoring. Solutions include temperature humidity, plant engineering, pH monitoring, pipeline leak detection, sensor hubs, and others.",Unfunded,,Operations Intelligence,Emerging,2015,USA,Alternate,TRUE,,,,
Cleidon,http://www.cleidon-iot.com/,Cleidon provides an Internet of Things solution for ​​asset management. Thunder jack hardware connection smart box is a hardware device to collect the data. Have built a unified device remote monitoring and management application platform based on Microsoft's IoT service platform. Claims to use Machine Learning and HDIsight for large data analysis and insight prediction on the Internet of Things analysis platform.,Unfunded,,Predictive Maintenance,Emerging,2017,China,Alternate,TRUE,,,,
Prana System,https://prana-system.com/en/,"Prana provides predictive analysis and remote monitoring system. Provide monitoring solutions for chemical industries, oil & gas industries, metallurgy industries, communal service industries, mining, and water supply industries. It uses a multivariate state estimation technique(MSET) and multidimensional models of equipment state, analytical servers, experts, terminals, neural networks, modules, big data and local servers for predictive analysis and remote monitoring.",Unfunded,,Predictive Maintenance,Emerging,2017,Russia,Alternate,TRUE,,,,
OnePreidct,http://www.onepredict.com/main.do,"OnePredict is a provider of predictive solutions for the manufacturing industry. The product offering includes Guardione is a predictive failure detection solution and its functions are sensing, reasoning, diagnosing, prognostics, and management. The clientele includes LG, POSCO, Schaeffler, KcTech, FAG, etc.",Undisclosed,,Predictive Maintenance,Emerging,2016,South Korea,Alternate,TRUE,,,,
Neewee,https://neewee.ai/,"NeeWee is a provider of IoT-based analytics solutions provider for predictive analysis. The product offered includes Bodhee and its features are risk prediction, real-time insight generation, and streamlines entire manufacturing. The product acquires data from various data sources including assets and provides predictability to cost, delivery and quality of the manufacturing.",Series A,"3,540,000",Operations Intelligence,Emerging,2014,India,Alternate,TRUE,,,,
Lone Star,https://www.lone-star.com/,"Lone Star provides predictive and prescriptive analytics solutions for the industrial sector (transportation, oil & gas, aerospace and defense, etc.). Its core product offertings are TruNavigator, a desktop modelling and simulation environment that helps create apps for addressing complex issues. AnalyticsOS is a suite of tools for predictive and prescriptive analytics to deploy ""cause and effect"" based operational models. The firm's solutions revolve around performance optimization, competitive differentiation, program advisory, and real time prescriptive analytics.",Undisclosed,,Predictive Maintenance,Emerging,2004,USA,Alternate,TRUE,,,,
Aikumo,http://www.aikumo.com/,"Aikumo is a software company providing data analytics services for energy and manufacturing industries. The company provides services for operations, processes, and energy optimization. The company claims to provide analytics solution with the use of machine learning technologies as cloud-based service or tailored application for customer’s own infrastructure and interfaces. The company has two products AI-Energy for energy market and AI-Uptime for predictive operations.",Unfunded,,Predictive Maintenance,Emerging,2013,Finland,Alternate,TRUE,,,,
Senslytics,https://www.senslytics.com/,"Senslytics provides a predictive engine to predict emergencies. The 5.5 Sense Suite incorporates three major components viz. Data Dendrons, that capture data from disparate structured/unstructured sources; The Prognosis platform that enables application of rules and the Wisdom Engine that generates predictions on given situations. The suite is big data compliant and is capable of analyzing sensor generated data as well. It supports IOT ecosystems and is configurable. The presentation/visualization layer is mobile optimized. The software can be deployed on a private/public cloud or inside an enterprise's network as a server/VM.",Unfunded,,Operations Intelligence,Emerging,2015,USA,Alternate,TRUE,,,,
Sentetic,https://www.sentetic.com/,"Sentetic is a developer of ML based predictive engine to identify unseen anomalies, predict faults, provide maintenance, scheduling tasks based on priority classes etc. Company's solution works with equipment connected sensors and can also extract data from database or enterprise asset management system. The solution works by comparing real-time data with the predicted data and notifying OSS if there is an anomaly condition.",Undisclosed,"44,000",Predictive Maintenance,Emerging,2015,Italy,Alternate,TRUE,,,,
IOTLYNX,https://www.iotlynx.com/,"IOTLYNX is the provider of an end-to-end IoT for enhancing operational efficiencies through fault prevention and predictive maintenance. The solution comprises of sensors, gateways that connect using wired/wireless internet & GPRS, and a cloud-based monitoring software allowing users to monitor the health of the machines. The solution alarms the user on the smartphone and web portal, in case of an abnormal activity. Some of the uses cases are in the areas of automobile, agriculture, energy, and more. Clientele includes Dhoot transmission and Siddhi Sugar & Allied Industries.",Unfunded,,Predictive Maintenance,Emerging,2016,India,Alternate,TRUE,,,,
BDATA,https://bdata.ca/,"BDATA is a data analytics and intelligence plant management software. Its product ""IPMS"" which allows users to manage data mining, perform inventory analysis, the bottleneck analysis and predictive intelligence solutions. Other solutions include geo-tracking, equipment management and plant management solutions using Big data technologies. Clients include ABB, YOKOGAWA, Honeywell, GE and Siemens. It offers cloud-based solutions.",Unfunded,,Operations Intelligence,Emerging,2017,Canada,Alternate,TRUE,,,,
Fulassure,http://www.fulassure.io/,"Fulassure is platform enabling predictive maintenance for industrial IOT solutions with a focus on renewable energy sector. Features include fault management based on threshold crossing alerts, performance management with KPI visualization tools and Inventory management. Supports multi-vendor integration and generates AI enabled insights.",Unfunded,,Predictive Maintenance,Emerging,2017,India,Alternate,TRUE,,,,
Omative,https://www.omative.com/,"Omative provides Internet of Things based real-time manufacturing solutions to minimize cycle time and optimize productivity and maintenance. Its chief offering Omative Pro is a production and predictive maintenance management system that networks all CNC machines on the shop-floor to enable the monitoring and control of machine productivity, tool utilization, and machine condition from any supervisor or management location. It displays real-time dynamic variations during machining, as well as essential production performance information such as job progress tracking, production output estimation, the record of the number of parts produced in every batch per machine, among others. The company also offers predictive maintenance solution for factories that tracks parameters like vibration, load, and temperature, and provides diagnostics so that it is possible to perform maintenance only when needed and to repair machines before there is a breakdown. Partners include McKinsey & Company, C B Ferrari, Hyundai, among others. Clientele includes Audi, Toyota, Airbus, Boeing, Seimens, Toshiba, Hitachi, General Dynamics, GE, to name a few.",Undisclosed,,Operations Intelligence,Emerging,2013,USA,Alternate,TRUE,,,,
BISTel,https://www.bistel.com/,"BISTel provides AI and IoT-based predictive maintenance solutions for manufacturers. Provides real-time monitoring solutions, and fault detection of key equipment & components that predict failures before they happen. Also provides automated analysis solution of relevant data for enabling users to detect potential damage, plan maintenance, and eliminate faults. Has use case for semiconductor & electronics, automotive, steel, energy, and other applications.",Unfunded,,Operations Intelligence,Emerging,2000,South Korea,Alternate,TRUE,,,,
Arrelic,https://www.arrelic.com/,"Arrelic is a technology firm that develops IoT based solutions for the manufacturing industry. Product includes APARNA, an IoT based predictive maintenance solution for real-time asset performance monitoring. It helps in reducing operating cost by decreasing downtime, improving root-cause analysis, and increasing utilization. Additionally offers ARLYTIC, an IoT based analytics platform that allows the user to avoid machine downtime by analyzing the sensors data. Claims to create an early warning that is 95% accurate. The company also provides services such as plants audits, assessment consulting, benchmarking, asset management etc.",Undisclosed,,Predictive Maintenance,Emerging,2016,India,Alternate,TRUE,,,,
Indalyz Monitoring Prognostics,https://www.imprognostics.com/en/home/,"Indalyz Monitoring & Prognostics offers a predictive maintenance solution for multi-industry purpose. The software uses artificial intelligence to learn about previous unknown malfunctions and processes the same information to rational maintenance recommendations. The company claims that the software applies a dynamic forecasting and decision algorithm which generates long-term wear predictions based on generic and series-specific information, historical and current sensor data and also environmental information. Applications are in the areas of wind plants, production facilities, railed vehicles, cable cars, power plants etc.",Undisclosed,,Predictive Maintenance,Emerging,2015,Germany,Alternate,TRUE,,,,
Qiggle,http://www.qiggle.ai/,Qiggle Inc. has developed a predictive analytics solution for industrial applications. The cloud hosted solution uses machine learning algorithms for analysing asset related data for detecting anomaly and failure. The solution allows the user to visualize the collected data in form of charts and graphs. The solution also allows the user to create data-driven custom alerts and events.,Unfunded,,Predictive Maintenance,Emerging,2017,India,Alternate,TRUE,,,,
Datagetic,https://www.datagetic.com/,"Datagetic provides predictive analytics software for heavy industries. It allows users to analyze industry data that has been captured from various sources. It enables users to visualize data, capture actionable trends and patterns from the data. It uses artificial intelligence, big data and machine learning technologies.",Unfunded,,Predictive Maintenance,Emerging,2018,Netherlands,Alternate,TRUE,,,,
Intelligent Things,https://www.intelligent-things.com/,"Intelligent Things provides an IoT platform offering predictive analytics solutions. Uses wireless sensors to gather data and determine fatigue build-up or enable maintenance tasks. Offers maintenance saving solutions, forecasting & scheduling maintenance cycles & product life, supply chain insight, fraud elimination, fault & batch diagnostics, and other solutions. Caters to rail, marine, automotive, aviation, oil & gas and other industries.",Undisclosed,,Predictive Maintenance,Emerging,2016,UK,Alternate,TRUE,,,,
BluEyeQ,https://www.blueyeq.com/,"BluEyeQ is a preventive maintenance devices provider. The product offerings are EdgEyeQ and BluEyeQ and features are Preemptive maintenance, Improved reliability, Predictable and efficient resource allocation, Optimized spares and inventory management, and Linkage to business KPI's. The products are used in industries such as power generation, wind utilities, reliability & maintenance, mining, oil & gas, manufacturing operations, heavy machinery, and transportation.",Unfunded,,Predictive Maintenance,Existing,2013,USA,Alternate,TRUE,,,,
Qsee,https://www.qsee.io/,"Qsee delivers predictive analytics for product quality control, based on AI and blockchain technology. Provides real-time quality detection, root-cause analysis and anomaly alerts in order to reduce/prevent downtime and improve the quality of production results. It automatically finds the downtime contributors and reveals hidden insights. Utilizes machine learning to cross-analyze data sources and predict process failures & quality issues before they happen.",Undisclosed,,Operations Intelligence,Existing,2017,Israel,Alternate,TRUE,,,,
Predii,https://www.predii.com/,"Predii Repair Intelligence is an artificial intelligence-based platform for predictive maintenance and repair of automobiles. The company claims to apply patented machine learning technologies to enterprise data which is embedded in the widest range of automotive diagnostic tools, used by technicians in automotive repair shops. It is also used for guided repair, proactive and predictive maintenance.",Unfunded,,Predictive Maintenance,Existing,2013,USA,Alternate,TRUE,,,,
4Pointx,https://www.4pointx.com/,"4POINTX is an AI-based predictive maintenance platform. The product offerings include Predictive Maintenance and Specific Energy Optimiser and other services include Self-Service Reporting, Big Data Analytics, AI workbench, Self-service Machine Learning, Advanced security, and Enterprise ready. The company claims that the companies using this platform are benefitted to faster availability, no false alarms, cost-saving, knowledge continuity, and scalable maintenance.",Unfunded,,Predictive Maintenance,Emerging,2019,Singapore,Alternate,TRUE,,,,
ThingWave,https://thingwave.eu/,"ThinkWave AB is an AI-based predictive maintenance software. The product offerings include TW MOTE, TW GALAXY, TW UNIVERSE and the features include are Real-Time Monitoring, Predictive Analytics, AI Analytics, Smart Alarms, Network Map with Location, Mesh Networks, Ultra-Low Power, and Data Replication. The application of these devices is in industries such as mining, industry, safety, and consulting.",Unfunded,,Predictive Maintenance,Emerging,2016,Sweden,Alternate,TRUE,,,,
Innovation Factory,https://www.innovationfactory.app/,"Innovation Factory is an AI-based predictive maintenance software. The product features are KPI Monitoring, AI-based Predictive maintenance, Real-time alert generation, Seamless integration with existing application, Mobile and web app-based system, and On-premise MQTT enabled server deployment with local data storage. The application is used in industries such as agriculture & food processing, coke/coal processing, steel plant, automotive industry, foundry industry, etc.",Unfunded,,Predictive Maintenance,Emerging,2019,India,Alternate,TRUE,,,,
V-ONE,https://www.v-one.my/,"V-ONE is an AI-based predictive maintenance software. The features of the product are data analysis, status monitoring, remote control, yield monitoring, integrated with a common database, mobile notification, OEE monitoring, etc. The company claims that using this software reduces the production cost and optimize the workflow.",Unfunded,,Operations Intelligence,Emerging,2016,Malaysia,Alternate,TRUE,,,,
